Klient,Client_ID,Opiekun,Segment,Grupa_MVP,Status,Aktywny,Telefon,Telefon_dodatkowy,Email,Email_dodatkowe,Preferowana_forma_kontaktu,Zamówienia_gdzie,Dni_zamówień,Rytm_kontaktu,Miasto,Kraj,Notatki,Grupa_raw
Abruzzo,C001,Gosia,Premium,Gosia Premium,Aktywny,1,,,ruszkowskaaleksandra.1@gmail.com,malgorzata.rojek@addallhoreca.pl,Sms,Skalo,Wtorek,1x/tydzień,Warszawa,Poland,"Adres: ul. Burakowska 5/7; 01-066; Warszawa; Poland | Info: Pełna nazwa: ABR1 SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5273113438
Grupa: 1. GOSIA (Top 10)
Sugerowany opiekun: Gosia
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 14
Rabat (%): 20
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: brak ubezp. | Notatka: Rabat  20%
limit był do 24.09.2025
SKONTO | Dodany: 17 lip 2024",1. GOSIA (Top 10)
Amar Beirut,C002,Gosia,Premium,Gosia Premium,Aktywny,1,725168274,608447409,accounting@amarbeirut.pl,"fadi@amarbeirut.pl, malgorzata.rojek@addallhoreca.pl",Sms,WhatsApp,"Czwartek, Poniedziałek",2x/tydzień,Warszawa,Poland,"Adres: ul. Żelazna 51/53; 00-841; Warszawa; Poland | Info: Pełna nazwa: ME CONCEPTS SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5213958445
Grupa: 1. GOSIA (Top 10)
Sugerowany opiekun: Gosia
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 15
Rabat (%): 30
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: BRAK.UBEZENERALNY MENAGER | Notatka: Rabat 30%
BRAAK LIMITU  od 31.10.2025 do 27.11.2025

 Limit EULER 50 000
SKONTO

Fadi - Gneralny menager
Lina - Osoba odpowiedzialna za zamówienia | Dodany: 18 kwi 2023",1. GOSIA (Top 10)
Belvedere,C003,Gosia,Premium,Gosia Premium,Aktywny,1,225586700,,magazyn.restauracja@belvedere.com.pl,malgorzata.rojek@addallhoreca.pl,Telefon,Email,Wtorek,1x/tydzień,Warszawa,Poland,"Adres: ul. Agrykola 1; 00-460; Warszawa; Poland | Info: Pełna nazwa: BELVEDERE - CAFE ŁAZIENKI KRÓLEWSKIE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5260209751
Grupa: 1. GOSIA (Top 10)
Sugerowany opiekun: Gosia
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 25
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Rabat  15%

Limit EULER 20 000 | Dodany: 05 sie 2020",1. GOSIA (Top 10)
DOM PRACOWNIKA SŁUŻBY ZDROWIA,C004,Gosia,Premium,Gosia Premium,Aktywny,1,516036212,,administracja@elekcyjna.pl,,Telefon,Email,Środa,co 3 miesiące,Warszawa,Poland,"Adres: ul. Elekcyjna 37; 01-119; Warszawa; Poland | Info: Pełna nazwa: DOM PRACOWNIKA SŁUŻBY ZDROWIA
NIP: 5271046034
Grupa: 1. GOSIA (Top 10)
Sugerowany opiekun: Gosia
Warunki płatności: przelew
Termin płatności (dni): 7
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Waldemar Gręda | Dodany: 29 gru 2020",1. GOSIA (Top 10)
Grzybki-Magazyn,C005,Gosia,Premium,Gosia Premium,Aktywny,1,,,ksiegowosc@piekarniagrzybki.pl,,Telefon,Email,Środa,1x/miesiąc,Warszawa,Poland,"Adres: Malownicza 33; 02-272; Warszawa; Poland | Info: Pełna nazwa: PIEKARNIA K.I A. CICHOWSCY , E. FEDEROWICZ SPÓŁKA JAWNA
NIP: 1130026398
Grupa: 1. GOSIA (Top 10)
Sugerowany opiekun: Gosia
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Limit EULER 50 000 | Dodany: 25 lis 2024",1. GOSIA (Top 10)
Grzybki-Malownicza Produkcja,C006,Gosia,Premium,Gosia Premium,Aktywny,1,,,ksiegowosc@piekarniagrzybki.pl,,Telefon,"Email, SMS",Środa,1x/miesiąc,Warszawa,Poland,"Adres: Malownicza 33; 02-272; Warszawa; Poland | Info: Pełna nazwa: PIEKARNIA K.I A. CICHOWSCY , E. FEDEROWICZ SPÓŁKA JAWNA
NIP: 1130026398
Grupa: 1. GOSIA (Top 10)
Sugerowany opiekun: Gosia
Warunki płatności: przelew
Termin płatności (dni): 14
Rabat (%): 15
Limit kredytowy: 0
Opis/Notatki z Bigin:
Notatka: Limit EULER 50 000 | Dodany: 18 gru 2024",1. GOSIA (Top 10)
Lupo,C007,Gosia,Premium,Gosia Premium,Aktywny,1,690186417,603123343,valeria.stanislavishyna@feste.group,"faktury@feste.group, malgorzata.rojek@addallhoreca.pl",Sms,Skalo,"Czwartek, Niedziela",2x/tydzień,Warszawa,Poland,"Adres: ul. Chmielna 132/134; 00-805; Warszawa; Poland | Info: Pełna nazwa: PRIMA FESTA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 5272960946
Grupa: 1. GOSIA (Top 10)
Sugerowany opiekun: Gosia
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 10
Rabat (%): 21
Limit kredytowy: 0
Opis/Notatki z Bigin:
Kontakt: Valeria Stanislavishyna | Notatka: Rabat 21%
Limit EULER 50 000
SKONTO | Dodany: 28 mar 2022",1. GOSIA (Top 10)
Sakana Sushi - Burakowska P,C008,Gosia,Premium,Gosia Premium,Aktywny,1,500231901,,ruszkowskaaleksandra1@gmail.com,malgorzata.rojek@addallhoreca.pl,Sms,Skalo,Poniedziałek,1x/tydzień,Warszawa,Poland,"Adres: ul. Burakowska 5/7; 01-066; Warszawa; Poland | Info: Pełna nazwa: Sakana Restaurant sp. z o.o.
NIP: 5252596673
Grupa: 1. GOSIA (Top 10)
Sugerowany opiekun: Gosia
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 21
Rabat (%): 20
Limit kredytowy: 15000
Dodatkowe info (telefon): ruszkowskaaleksandra.1@gmail.com
Opis/Notatki z Bigin:
Kontakt: brak ubezp.Katarzyna Skórczyńska - Generalny menager | Notatka: Rabat  20%
SKONTO | Dodany: 14 lis 2018",1. GOSIA (Top 10)
Sakana Sushi Molieria,C009,Gosia,Premium,Gosia Premium,Aktywny,1,784087808,696211292,aleksandras2911@gmail.com,malgorzata.rojek@addallhoreca.pl,Sms,Skalo,Poniedziałek,1x/tydzień,Warszawa,Poland,"Adres: Moliera 4/6; 00-076; Warszawa; Poland | Info: Pełna nazwa: TOKYO-BARCELONA Sp. z o.o. Spółka komandytowa
NIP: 5252728749
Grupa: 1. GOSIA (Top 10)
Sugerowany opiekun: Gosia
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 21
Rabat (%): 20
Limit kredytowy: 10000
Dodatkowe info (telefon): OlaOsoba odpowiedzialna za zamów.
Opis/Notatki z Bigin:
Kontakt: Dominik SolnicaSzef kuchni | Notatka: Rabat  20%
Limit EULER 25 000
SKONTO | Dodany: 08 maj 2018",1. GOSIA (Top 10)
Sakana Wilanów,C010,Gosia,Premium,Gosia Premium,Aktywny,1,510610661,606658333,sakanawilanow@gmail.com,,Sms,Email,"Czwartek, Poniedziałek",2x/tydzień,Warszawa,Poland,"Adres: ul. Przyczółkowa 221 lok. B.1.2; 02-962; Warszawa; Poland | Info: Pełna nazwa: TKM INVESTMENT SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ
NIP: 1132520346
Grupa: 1. GOSIA (Top 10)
Sugerowany opiekun: Gosia
Warunki płatności: Przelew skonto za płatność w terminie
Termin płatności (dni): 14
Rabat (%): 20
Limit kredytowy: 10400
Opis/Notatki z Bigin:
Kontakt: brak ubezp. Maciej WolskiSzef Kuchni | Notatka: Rabat  20%
SKONTO
KLIENT FAKTURA | Dodany: 09 paź 2019",1. GOSIA (Top 10)
